car_num,ct_name,psevdoname,std_kap,std_ppr,std_dep,std_vogi
57463085,Газовые,15-78-5,2021-08-08,2018-08-26,2019-08-31,2019-05-19
57456220,Газовые,15-78-5,2021-08-02,2019-05-19,2019-09-15,2019-05-19
57453656,Газовые,15-78-5,2021-07-19,2019-01-22,2019-07-07,2019-05-18
57463507,Газовые,15-78-5,2021-07-19,2019-03-18,2018-06-02,2019-05-18
57463309,Газовые,15-78-5,2021-06-20,2018-05-16,2019-01-09,2019-04-24
57463341,Газовые,15-78-5,2021-07-11,2018-08-02,2018-06-14,2019-05-20
57463275,Газовые,15-78-5,2021-06-20,2018-09-11,2018-10-03,2019-04-22
57463317,Газовые,15-78-5,2021-06-14,2018-12-15,2019-06-15,2019-04-22
57457038,Газовые,15-78-5,2018-11-25,2018-10-24,2021-11-03,2024-10-24
57463523,Газовые,15-78-5,2021-07-01,2019-04-13,2019-02-28,2019-04-22
57463382,Газовые,15-78-5,2021-07-01,2019-01-17,2020-01-30,2019-04-23
57463572,Газовые,15-78-5,2021-07-11,2019-03-06,2019-04-16,2019-04-20
57463606,Газовые,15-78-5,2021-06-14,2019-03-30,2019-02-23,2019-04-21
57463481,Газовые,15-78-5,2021-06-20,2019-03-02,2019-01-29,2019-04-21
57465437,Газовые,15-78-5,2018-06-09,2018-11-13,2021-05-31,2024-05-23
57462434,Газовые,17-145-5,2018-06-09,2018-07-19,2021-09-13,2024-07-22
57456246,Газовые,17-145-5,2018-05-12,2018-07-07,2021-07-28,2024-07-07
57460065,Газовые,17-145-5,2018-09-03,2018-09-21,2021-08-11,2024-09-21
57465742,Газовые,15-78-5,2018-09-24,2018-09-19,2021-09-30,2024-09-19
57465767,Газовые,15-78-5,2018-09-24,2018-09-20,2021-08-11,2024-09-20
57465783,Газовые,15-78-5,2018-09-03,2016-09-06,2021-08-29,2016-09-06
50815729,Газовые,15-78-5,2018-05-12,2018-11-02,2021-06-04,2024-11-02
57465460,Газовые,15-78-5,2018-07-21,2018-06-23,2021-07-03,2024-06-23
57465718,Газовые,15-78-5,2018-07-21,2018-10-11,2021-09-30,2024-10-11
57459612,Газовые,17-145-5,2018-05-12,2018-10-26,2021-07-31,2024-10-26
50262674,Нефтебензиновые,19-89-11,2019-04-09,NULL,2018-05-19,NULL
50261452,Нефтебензиновые,19-89-11,2019-04-07,NULL,2018-05-26,NULL
50262880,Нефтебензиновые,19-89-11,2020-04-30,NULL,2022-04-30,NULL
57455412,Газовые,15-78-5,2021-10-19,2019-07-08,2020-02-07,2019-08-20
57462129,Газовые,15-78-5,2019-10-09,2017-09-11,2022-10-25,2017-09-11
57463283,Газовые,15-78-5,2019-10-09,2017-09-16,2023-02-22,2017-09-16
57466500,Газовые,15-78-5,2019-08-25,2017-08-13,2022-07-30,2017-08-13
57458556,Газовые,17-145-5,2019-07-16,2017-08-28,2022-09-24,2017-08-28
77256493,Газовые,11-160-9,2023-08-29,2019-08-09,2019-12-21,2021-08-29
57466435,Газовые,15-78-5,2019-07-16,2017-07-16,2022-08-07,2017-07-16
57466401,Газовые,15-78-5,2019-04-14,2017-04-09,2022-05-26,2017-04-09
57465866,Газовые,15-78-5,2019-04-14,2017-04-10,2022-06-15,2017-04-10
57455123,Газовые,15-78-5,2019-05-04,2017-05-07,2022-06-25,2017-05-07
57456584,Газовые,17-145-5,2019-08-25,2017-08-27,2022-09-29,2017-08-27
57457152,Газовые,15-78-5,2019-05-04,2017-04-30,2022-06-25,2017-04-30
57458168,Газовые,17-145-5,2019-04-14,2017-06-11,2022-06-12,2017-06-11
57461238,Газовые,17-145-5,2019-04-14,2017-06-15,2022-07-05,2017-06-15
57461246,Газовые,15-78-5,2019-05-04,2017-05-03,2022-04-29,2017-05-03
57461410,Газовые,15-78-5,2019-08-25,2017-08-12,2022-05-30,2017-08-12
57465916,Газовые,15-78-5,2019-05-04,2017-04-29,2022-07-31,2017-04-29
57466260,Газовые,15-78-5,2019-06-29,2017-06-25,2022-05-03,2017-06-25
57466286,Газовые,15-78-5,2019-07-16,2017-07-21,2022-05-29,2017-07-21
57466419,Газовые,15-78-5,2019-06-29,2017-06-24,2022-09-12,2017-06-24
57466443,Газовые,15-78-5,2019-06-29,2017-06-24,2022-08-22,2017-06-24
57466583,Газовые,17-145-5,2019-04-14,2017-06-08,2022-06-23,2017-06-08
57466708,Газовые,17-145-5,2019-03-23,2017-05-23,2022-03-10,2017-05-23
57453581,Газовые,17-145-5,2018-05-12,2018-10-22,2021-10-10,2024-10-22
57454126,Газовые,17-145-5,2018-07-21,2018-10-24,2021-09-06,2024-10-24
57459620,Газовые,17-145-5,2018-06-09,2018-11-06,2021-11-16,2024-11-06
57463630,Газовые,17-145-5,2018-07-21,2016-10-10,2021-07-16,2016-10-10
57465726,Газовые,15-78-5,2018-10-24,2016-10-23,2021-08-21,2016-10-23
57460057,Газовые,17-145-5,2018-07-21,2018-07-22,2021-07-31,2024-07-22
57466567,Газовые,15-78-5,2019-06-29,2017-08-29,2022-08-08,2017-08-29
57455131,Газовые,15-78-5,2019-07-16,2017-07-21,2022-08-07,2017-07-21
57461402,Газовые,15-78-5,2019-08-25,2017-09-10,2022-08-22,2017-09-10
57461501,Газовые,15-78-5,2019-12-08,2017-12-15,2022-09-27,2017-12-15
57461261,Газовые,15-78-5,2019-05-04,2017-05-01,2022-02-11,2017-05-01
57465874,Газовые,15-78-5,2019-05-04,2019-02-07,2022-02-25,2025-02-07
